Instanz; Metaheuristik; k; Iterationen; Kosten vorher; kosten nachher; Verstrichene Zeit;
instances/circ10.txt;VNS;1;100;414;314;24,124;
instances/circ10.txt;VNS;1;100;414;312;22,344;
instances/circ10.txt;VNS;1;100;414;306;24,304;
instances/circ12.txt;VNS;1;100;750;544;56,814;
instances/circ12.txt;VNS;1;100;750;532;59,085;
instances/circ12.txt;VNS;1;100;750;532;62,189;
instances/circ12.txt;VNS;1;100;750;562;71,04;
instances/circ12.txt;VNS;1;100;750;558;60,663;
instances/circ12.txt;VNS;1;100;750;514;72,303;
instances/circ12.txt;VNS;1;100;750;518;58,447;
instances/circ12.txt;VNS;1;100;750;548;55,557;
instances/circ12.txt;VNS;1;100;750;560;55,496;
instances/circ12.txt;VNS;1;100;750;492;57,535;
instances/circ12.txt;VNS;1;100;750;524;61,775;
instances/circ12.txt;VNS;1;100;750;548;61,409;
instances/circ12.txt;VNS;1;100;750;546;60,896;
instances/circ12.txt;VNS;1;100;750;534;59,458;
instances/circ12.txt;VNS;1;100;750;518;71,277;
instances/circ12.txt;VNS;1;100;750;526;73,24;
instances/circ12.txt;VNS;1;100;750;508;59,242;
instances/circ12.txt;VNS;1;100;750;536;66,186;
instances/circ12.txt;VNS;1;100;750;514;60,913;
instances/circ12.txt;VNS;1;100;750;540;68,016;
instances/circ12.txt;VNS;1;100;750;534;71,161;
instances/circ12.txt;VNS;1;100;750;540;44,907;
instances/circ12.txt;VNS;1;100;750;524;69,625;
instances/circ12.txt;VNS;1;100;750;528;62,001;
instances/circ12.txt;VNS;1;100;750;546;55,805;
instances/circ12.txt;VNS;1;100;750;562;65,475;
instances/circ12.txt;VNS;1;100;750;528;59,096;
instances/circ12.txt;VNS;1;100;750;542;48,133;
instances/circ12.txt;VNS;1;100;750;540;53,306;
instances/circ12.txt;VNS;1;100;750;550;59,926;
instances/circ14.txt;VNS;1;100;1.182;810;122,475;
instances/circ14.txt;VNS;1;100;1.182;738;118,178;
instances/circ14.txt;VNS;1;100;1.182;812;137,962;
