Instanz; Swap Art; k; Kosten vorher; kosten nachher; Verstrichene Zeit
instances/circ14.txt;SwapTms;100;1.216;1.196;0,117;
instances/circ16.txt;SwapTms;100;1.762;1.732;0,138;
instances/circ18.txt;SwapTms;100;2.494;2.466;0,238;
instances/circ20.txt;SwapTms;100;3.474;3.414;0,42;
instances/circ4.txt;PrtSwapRds;1;26;22;0,001;
instances/circ6.txt;PrtSwapRds;1;90;88;0,001;
instances/circ8.txt;PrtSwapRds;1;218;216;0,002;
instances/circ10.txt;PrtSwapRds;1;404;400;0,007;
instances/circ12.txt;PrtSwapRds;1;732;722;0,006;
instances/circ14.txt;PrtSwapRds;1;1.216;1.204;0,032;
instances/circ16.txt;PrtSwapRds;1;1.762;1.742;0,006;
instances/circ18.txt;PrtSwapRds;1;2.494;2.466;0,043;
instances/circ20.txt;PrtSwapRds;1;3.474;3.438;0,092;
instances/circ4.txt;PrtSwapRds;5;26;22;0,004;
instances/circ6.txt;PrtSwapRds;5;90;86;0,003;
instances/circ8.txt;PrtSwapRds;5;218;198;0,006;
instances/circ10.txt;PrtSwapRds;5;404;398;0,014;
instances/circ12.txt;PrtSwapRds;5;732;716;0,013;
instances/circ14.txt;PrtSwapRds;5;1.216;1.192;0,038;
instances/circ16.txt;PrtSwapRds;5;1.762;1.742;0,012;
instances/circ18.txt;PrtSwapRds;5;2.494;2.452;0,064;
instances/circ20.txt;PrtSwapRds;5;3.474;3.398;0,106;
instances/circ4.txt;PrtSwapRds;10;26;22;0,005;
instances/circ6.txt;PrtSwapRds;10;90;86;0,007;
instances/circ8.txt;PrtSwapRds;10;218;198;0,015;
instances/circ10.txt;PrtSwapRds;10;404;384;0,032;
instances/circ12.txt;PrtSwapRds;10;732;708;0,027;
instances/circ14.txt;PrtSwapRds;10;1.216;1.156;0,042;
instances/circ16.txt;PrtSwapRds;10;1.762;1.736;0,027;
instances/circ18.txt;PrtSwapRds;10;2.494;2.430;0,124;
instances/circ20.txt;PrtSwapRds;10;3.474;3.392;0,147;
instances/circ4.txt;PrtSwapRds;50;26;22;0,005;
instances/circ6.txt;PrtSwapRds;50;90;86;0,029;
instances/circ8.txt;PrtSwapRds;50;218;198;0,045;
instances/circ10.txt;PrtSwapRds;50;404;384;0,117;
instances/circ12.txt;PrtSwapRds;50;732;702;0,106;
instances/circ14.txt;PrtSwapRds;50;1.216;1.154;0,124;
instances/circ16.txt;PrtSwapRds;50;1.762;1.708;0,112;
instances/circ18.txt;PrtSwapRds;50;2.494;2.410;0,316;
instances/circ20.txt;PrtSwapRds;50;3.474;3.376;0,41;
instances/circ4.txt;PrtSwapRds;100;26;22;0,005;
instances/circ6.txt;PrtSwapRds;100;90;86;0,034;
instances/circ8.txt;PrtSwapRds;100;218;198;0,092;
instances/circ10.txt;PrtSwapRds;100;404;384;0,226;
instances/circ12.txt;PrtSwapRds;100;732;700;0,223;
instances/circ14.txt;PrtSwapRds;100;1.216;1.154;0,212;
instances/circ16.txt;PrtSwapRds;100;1.762;1.708;0,223;
instances/circ18.txt;PrtSwapRds;100;2.494;2.410;0,616;
instances/circ20.txt;PrtSwapRds;100;3.474;3.376;0,68;
instances/circ4.txt;PrtSwapTms;1;26;24;0,002;
instances/circ6.txt;PrtSwapTms;1;90;86;0,002;
instances/circ8.txt;PrtSwapTms;1;218;218;0,004;
instances/circ10.txt;PrtSwapTms;1;404;402;0,01;
instances/circ12.txt;PrtSwapTms;1;732;722;0,011;
instances/circ14.txt;PrtSwapTms;1;1.216;1.188;0,035;
instances/circ16.txt;PrtSwapTms;1;1.762;1.760;0,042;
instances/circ18.txt;PrtSwapTms;1;2.494;2.470;0,088;
instances/circ20.txt;PrtSwapTms;1;3.474;3.474;0,128;
instances/circ4.txt;PrtSwapTms;5;26;24;0,005;
instances/circ6.txt;PrtSwapTms;5;90;86;0,009;
instances/circ8.txt;PrtSwapTms;5;218;210;0,015;
instances/circ10.txt;PrtSwapTms;5;404;394;0,025;
instances/circ12.txt;PrtSwapTms;5;732;722;0,028;
instances/circ14.txt;PrtSwapTms;5;1.216;1.188;0,072;
instances/circ16.txt;PrtSwapTms;5;1.762;1.742;0,095;
instances/circ18.txt;PrtSwapTms;5;2.494;2.454;0,181;
instances/circ20.txt;PrtSwapTms;5;3.474;3.414;0,173;
instances/circ4.txt;PrtSwapTms;10;26;24;0,007;
instances/circ6.txt;PrtSwapTms;10;90;90;0,015;
instances/circ8.txt;PrtSwapTms;10;218;202;0,029;
instances/circ10.txt;PrtSwapTms;10;404;394;0,056;
instances/circ12.txt;PrtSwapTms;10;732;722;0,083;
instances/circ14.txt;PrtSwapTms;10;1.216;1.188;0,158;
instances/circ16.txt;PrtSwapTms;10;1.762;1.742;0,143;
instances/circ18.txt;PrtSwapTms;10;2.494;2.454;0,247;
instances/circ20.txt;PrtSwapTms;10;3.474;3.414;0,233;
